# ----------------------------------------
# All Web Site Data
# Cohort Analysis
# 20220604-20220703
# ----------------------------------------

Cohort type,Acquisition Date
Cohort size,by day
Date range,30

Metric,User Retention
,Total Users,day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12
All Users,23,100.00%,8.70%,0.00%,0.00%,4.35%,8.70%,4.76%,21.43%,8.33%,0.00%,0.00%,10.00%,12.50%
"Jun 4, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 5, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 6, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 7, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 8, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 9, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 10, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 11, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 12, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 13, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 14, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 15, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 16, 2022",2,100.00%,100.00%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,50.00%,0.00%,0.00%,50.00%,50.00%
"Jun 17, 2022",3,100.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 18, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 19, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 20, 2022",1,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 21, 2022",2,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 22, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 23, 2022",2,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 24, 2022",2,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 25, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 26, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 27, 2022",2,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 28, 2022",7,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 29, 2022",2,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Jun 30, 2022",0,0.00%,0.00%,0.00%,0.00%,0.00%
"Jul 1, 2022",0,0.00%,0.00%,0.00%,0.00%
"Jul 2, 2022",0,0.00%,0.00%,0.00%
"Jul 3, 2022",0,0.00%,0.00%
