,ga_date,ga_hour,ga_minute,ga_previousPagePath,ga_avgTimeOnPage,ga_pageValue
0,20220616,17,32,(entrance),26.0,0.0
1,20220616,17,33,/,82.0,0.0
2,20220616,17,34,/,15.0,0.0
3,20220616,17,35,/,183.0,0.0
4,20220616,17,38,/sample-page/,62.0,0.0
5,20220616,17,39,/,103.0,0.0
6,20220616,17,40,/,154.0,0.0
7,20220616,17,43,/,300.0,0.0
8,20220617,07,31,(entrance),1721.0,0.0
9,20220617,08,32,(entrance),13.0,0.0
10,20220617,08,32,/,4.0,0.0
11,20220617,08,32,/wpadmin,116.0,0.0
12,20220617,08,34,/my-account/,334.0,0.0
13,20220617,08,40,/,4.0,0.0
14,20220617,08,40,/cart/,2.5,0.0
15,20220617,08,40,/my-account/,12.0,0.0
16,20220617,08,40,/sample-page/,5.0,0.0
17,20220617,10,38,(entrance),1732.0,0.0
18,20220617,11,07,/,36.0,0.0
19,20220617,11,08,/,7.0,0.0
20,20220617,11,08,/sample-page/,4.0,0.0
21,20220617,11,08,/shop/,29.0,0.0
22,20220617,17,36,(entrance),301.0,0.0
23,20220620,08,42,(entrance),110.0,0.0
24,20220620,08,44,/,81.0,0.0
25,20220620,09,22,(entrance),599.0,0.0
26,20220620,09,32,/,30.0,0.0
27,20220620,09,33,/,4.0,0.0
28,20220620,09,33,/2022/06/16/hello-world/,31.0,0.0
29,20220620,09,34,/2022/06/16/hello-world/,68.0,0.0
30,20220620,09,35,/,6.0,0.0
31,20220620,09,35,/2022/06/16/hello-world/?customize_changeset_uuid=e97e55ea-dc49-4827-b4fa-52e2514001e3&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,18.0,0.0
32,20220620,09,35,/checkout/?customize_changeset_uuid=e97e55ea-dc49-4827-b4fa-52e2514001e3&customize_theme=twentytwentytwo&customize_messenger_channel=preview-1,139.0,0.0
33,20220620,09,38,/2022/06/16/hello-world/,421.0,0.0
34,20220620,09,45,/,304.5,0.0
35,20220620,09,55,/,62.0,0.0
36,20220620,09,56,/,2.0,0.0
37,20220620,09,56,/cart/,2.0,0.0
38,20220620,09,56,/my-account/,41.0,0.0
39,20220620,09,56,/shop/,13.0,0.0
40,20220620,09,57,/sample-page/,112.0,0.0
41,20220620,09,59,/,53.0,0.0
42,20220620,09,59,/sample-page/,14.0,0.0
43,20220620,10,00,/,6.0,0.0
44,20220620,10,00,/sample-page/,7.5,0.0
45,20220620,10,42,(entrance),14.0,0.0
46,20220620,10,42,/cart/,257.0,0.0
47,20220620,10,46,/shop/,627.0,0.0
48,20220620,10,57,/my-account/,48.0,0.0
49,20220620,10,58,/product/khoa-hoc-data-analytics/,2.0,0.0
50,20220620,10,58,/shop/,242.5,0.0
51,20220620,11,06,/product/dich-vu-tu-van-giai-phap/,9.5,0.0
52,20220620,11,06,/product/khoa-hoc-data-analytics/,2.0,0.0
53,20220620,11,06,/shop/,14.0,0.0
54,20220620,11,07,/product/khoa-hoc-data-analytics/,43.0,0.0
55,20220620,11,08,/product/dich-vu-tu-van-giai-phap/,48.5,0.0
56,20220620,11,08,/product/khoa-hoc-data-analytics/,20.0,0.0
57,20220620,11,08,/shop/,10.5,0.0
58,20220620,11,08,/shop/?orderby=popularity,3.0,0.0
59,20220620,11,10,/,2.0,0.0
60,20220620,11,10,/shop/,340.0,0.0
61,20220620,11,16,/,4.0,0.0
62,20220620,11,16,/shop/,78.0,0.0
63,20220620,11,17,/,29.0,0.0
64,20220620,11,18,/,182.0,0.0
65,20220620,11,21,/,41.0,0.0
66,20220620,11,22,/,9.25,0.0
67,20220620,11,22,/cart/,5.0,0.0
68,20220620,11,22,/checkout/,8.0,0.0
69,20220620,11,22,/sample-page/,7.0,0.0
70,20220620,11,22,/shop/,2.0,0.0
71,20220620,11,23,/,282.0,0.0
72,20220620,11,27,/,4.0,0.0
73,20220620,11,27,/shop/,32.0,0.0
74,20220620,11,28,/,1321.0,0.0
75,20220620,11,50,/,67.5,0.0
76,20220620,11,52,/,51.0,0.0
77,20220620,11,53,/shop/,25.0,0.0
78,20220620,11,54,/,21.0,0.0
79,20220620,11,54,/shop/,12.333333333333334,0.0
80,20220620,13,40,(entrance),508.0,0.0
81,20220620,13,49,/,135.0,0.0
82,20220620,13,51,/,29.0,0.0
83,20220620,13,52,/,63.0,0.0
84,20220620,13,53,/,111.5,0.0
85,20220620,13,56,/,13.0,0.0
86,20220620,13,57,/,73.0,0.0
87,20220620,13,59,/product/dich-vu-tu-van-giai-phap/,120.0,0.0
88,20220620,14,01,/shop/,112.5,0.0
89,20220620,14,05,/product/khoa-hoc-power-bi/,345.0,0.0
90,20220620,14,11,/sample-page/,223.0,0.0
91,20220620,14,14,/,16.0,0.0
92,20220620,14,15,/,77.0,0.0
93,20220620,14,16,/,19.0,0.0
94,20220620,14,17,/,81.4,0.0
95,20220620,14,23,/shop/,451.0,0.0
96,20220620,14,31,/,46.0,0.0
97,20220620,14,32,/,19.75,0.0
98,20220620,14,33,/,5.0,0.0
99,20220620,14,33,/sample-page/,19.333333333333332,0.0
100,20220620,14,34,/,927.0,0.0
101,20220620,14,50,/,8.0,0.0
102,20220620,14,50,/cart/,62.0,0.0
103,20220620,14,50,/shop/,6.0,0.0
104,20220620,14,51,/checkout/,12.0,0.0
105,20220620,14,51,/checkout/order-received/111/?key=wc_order_H6sd7IIRsLfCo,382.0,0.0
