,ga_hostname,ga_pagePath,ga_pageTitle,ga_landingPagePath,ga_secondPagePath,ga_exitPagePath,ga_pageDepth,ga_pageValue,ga_entrances,ga_entranceRate,ga_pageviews,ga_uniquePageviews,ga_exits,ga_exitRate
0,ga.kpim.vn,/,GA - Just another WordPress site,/,(not set),/,1,0.0,4.0,100.0,4.0,4.0,4.0,100.0
1,ga.kpim.vn,/,GA - Just another WordPress site,/,/,/,6,0.0,0.0,0.0,2.0,1.0,1.0,50.0
2,ga.kpim.vn,/,GA - Just another WordPress site,/,/,/cart/,25,0.0,1.0,16.666666666666664,6.0,1.0,0.0,0.0
3,ga.kpim.vn,/,GA - Just another WordPress site,/,/my-account/,/my-account/,3,0.0,1.0,100.0,1.0,1.0,0.0,0.0
4,ga.kpim.vn,/,GA – Just another WordPress site,/,(not set),/,1,0.0,5.0,100.0,5.0,5.0,5.0,100.0
5,ga.kpim.vn,/,GA – Just another WordPress site,/,/,/,2,0.0,2.0,50.0,4.0,2.0,2.0,50.0
6,ga.kpim.vn,/,GA – Just another WordPress site,/,/,/,6,0.0,1.0,100.0,1.0,1.0,0.0,0.0
7,ga.kpim.vn,/,GA – Just another WordPress site,/,/,/,9,0.0,1.0,14.285714285714285,7.0,1.0,1.0,14.285714285714285
8,ga.kpim.vn,/,GA – Just another WordPress site,/,/wpadmin,/,12,0.0,1.0,25.0,4.0,1.0,1.0,25.0
9,ga.kpim.vn,/,Google Analytics - Just another WordPress site,/,/,/cart/,25,0.0,0.0,0.0,3.0,1.0,0.0,0.0
10,ga.kpim.vn,/,Homepage -,/,(not set),/,1,0.0,16.0,100.0,16.0,16.0,16.0,100.0
11,ga.kpim.vn,/,Homepage -,/,/,/,19,0.0,1.0,14.285714285714285,7.0,1.0,1.0,14.285714285714285
12,ga.kpim.vn,/,Homepage -,/,/,/,2,0.0,2.0,50.0,4.0,2.0,2.0,50.0
13,ga.kpim.vn,/,Homepage -,/,/,/,3,0.0,1.0,33.33333333333333,3.0,1.0,1.0,33.33333333333333
14,ga.kpim.vn,/,Homepage -,/,/,/,4,0.0,1.0,25.0,4.0,1.0,1.0,25.0
15,ga.kpim.vn,/,Homepage -,/,/,/,42,0.0,1.0,4.0,25.0,1.0,1.0,4.0
16,ga.kpim.vn,/,Homepage -,/,/,/,5,0.0,1.0,33.33333333333333,3.0,1.0,1.0,33.33333333333333
17,ga.kpim.vn,/,Homepage -,/,/,/,7,0.0,1.0,33.33333333333333,3.0,1.0,1.0,33.33333333333333
18,ga.kpim.vn,/,Homepage -,/,/,/cart/,4,0.0,2.0,50.0,4.0,2.0,0.0,0.0
19,ga.kpim.vn,/,Homepage -,/,/,/product/khoa-hoc-data-analytics/,20,0.0,1.0,25.0,4.0,1.0,0.0,0.0
20,ga.kpim.vn,/,Homepage -,/,/,/shop/,3,0.0,2.0,50.0,4.0,2.0,0.0,0.0
21,ga.kpim.vn,/,Homepage -,/,/cart/,/,11,0.0,1.0,50.0,2.0,1.0,1.0,50.0
22,ga.kpim.vn,/,Homepage -,/,/cart/,/cart/,3,0.0,1.0,100.0,1.0,1.0,0.0,0.0
23,ga.kpim.vn,/,Homepage -,/,/cart/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,0.0,1.0,100.0,1.0,1.0,0.0,0.0
24,ga.kpim.vn,/,Homepage -,/,/cart/,/checkout/order-received/121/?key=wc_order_GjfAC3QGWioUM,6,0.0,1.0,50.0,2.0,1.0,0.0,0.0
25,ga.kpim.vn,/,Homepage -,/,/my-account/,/product/power-bi-embedded/,3,0.0,1.0,100.0,1.0,1.0,0.0,0.0
26,ga.kpim.vn,/,Homepage -,/,/product/dich-vu-tu-van-giai-phap/,/shop/,9,0.0,1.0,100.0,1.0,1.0,0.0,0.0
27,ga.kpim.vn,/,Homepage -,/,/product/power-bi-embedded/,/,4,0.0,1.0,33.33333333333333,3.0,1.0,1.0,33.33333333333333
28,ga.kpim.vn,/,Homepage -,/,/shop/,/,4,0.0,1.0,33.33333333333333,3.0,1.0,1.0,33.33333333333333
29,ga.kpim.vn,/,Homepage -,/,/shop/,/cart/,3,0.0,1.0,100.0,1.0,1.0,0.0,0.0
30,ga.kpim.vn,/,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,1.0,100.0
31,ga.kpim.vn,/,Homepage -,/cart/,/cart/,/product/dich-vu-tu-van-giai-phap/,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
32,ga.kpim.vn,/,Homepage -,/cart/,/shop/,/,50,0.0,0.0,0.0,1.0,1.0,1.0,100.0
33,ga.kpim.vn,/,Homepage -,/product/power-bi-embedded/,/,/checkout/,19,0.0,0.0,0.0,8.0,1.0,0.0,0.0
34,ga.kpim.vn,/,Homepage - :,/,/,/,42,0.0,0.0,0.0,3.0,1.0,0.0,0.0
35,ga.kpim.vn,/,Homepage - Google Analytics,/cart/,/shop/,/,50,0.0,0.0,0.0,12.0,1.0,0.0,0.0
36,ga.kpim.vn,/,Homepage - KPIM's Store,/cart/,/shop/,/,50,0.0,0.0,0.0,7.0,1.0,0.0,0.0
37,ga.kpim.vn,/,KPIM -,/,/,/,42,0.0,0.0,0.0,1.0,1.0,0.0,0.0
38,ga.kpim.vn,/?customize_changeset_uuid=c4353d1e-9998-4e95-a7df-c9c8833a7edf&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,Just another WordPress site,/,/,/,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
39,ga.kpim.vn,/?customize_changeset_uuid=f2398cbe-fb78-4a72-a416-419bd19c196f&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,Just another WordPress site,/,/,/,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,ga.kpim.vn,/?gtm_debug=1656298173767,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,1.0,100.0,1.0,1.0,0.0,0.0
41,ga.kpim.vn,/?gtm_debug=1656298187643,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,ga.kpim.vn,/?gtm_debug=1656298205851,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
43,ga.kpim.vn,/?gtm_debug=1656298461969,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
44,ga.kpim.vn,/?gtm_debug=1656298582793,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
45,ga.kpim.vn,/?gtm_debug=1656299336724,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
46,ga.kpim.vn,/?gtm_debug=1656299399150,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
47,ga.kpim.vn,/?gtm_debug=1656299417262,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
48,ga.kpim.vn,/?gtm_debug=1656299436701,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
49,ga.kpim.vn,/?gtm_debug=1656299579170,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
