,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_pagePath,ga_exitPagePath,ga_pageDepth,ga_pageviews,ga_timeOnPage,ga_pageviewsPerSession,ga_avgTimeOnPage
0,2022-06-16 17:10,Hanoi,Vietnam,mobile,/,/,1,1.0,0.0,1.0,0.0
1,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,26.0,1.0,26.0
2,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,82.0,0.0,82.0
3,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,15.0,0.0,15.0
4,2022-06-16 17:10,Hanoi,Vietnam,desktop,/sample-page/,/,9,1.0,183.0,0.0,183.0
5,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,62.0,0.0,62.0
6,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,103.0,0.0,103.0
7,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,154.0,0.0,154.0
8,2022-06-16 17:10,Hanoi,Vietnam,desktop,/cart/,/,9,1.0,300.0,0.0,300.0
9,2022-06-16 17:10,Hanoi,Vietnam,desktop,/,/,9,1.0,0.0,0.0,0.0
10,2022-06-17 00:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
11,2022-06-17 07:10,Hanoi,Vietnam,mobile,/,/,2,1.0,1721.0,1.0,1721.0
12,2022-06-17 08:10,Hanoi,Vietnam,mobile,/,/,2,1.0,0.0,0.0,0.0
13,2022-06-17 08:10,Hanoi,Vietnam,desktop,/,/,12,1.0,13.0,1.0,13.0
14,2022-06-17 08:10,Hanoi,Vietnam,desktop,/my-account/,/,12,1.0,116.0,0.0,116.0
15,2022-06-17 08:10,Hanoi,Vietnam,desktop,/wpadmin,/,12,1.0,4.0,0.0,4.0
16,2022-06-17 08:10,Hanoi,Vietnam,desktop,/,/,12,1.0,334.0,0.0,334.0
17,2022-06-17 08:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
18,2022-06-17 08:10,Hanoi,Vietnam,desktop,/,/,12,2.0,2.0,0.0,2.0
19,2022-06-17 08:10,Hanoi,Vietnam,desktop,/cart/,/,12,2.0,7.0,0.0,3.5
20,2022-06-17 08:10,Hanoi,Vietnam,desktop,/my-account/,/,12,3.0,11.0,0.0,3.6666666666666665
21,2022-06-17 08:10,Hanoi,Vietnam,desktop,/sample-page/,/,12,1.0,22.0,0.0,22.0
22,2022-06-17 09:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
23,2022-06-17 09:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
24,2022-06-17 10:10,Hanoi,Vietnam,desktop,/,/,6,1.0,1732.0,1.0,1732.0
25,2022-06-17 11:10,Hanoi,Vietnam,desktop,/,/,6,1.0,36.0,0.0,36.0
26,2022-06-17 11:10,Hanoi,Vietnam,desktop,/cart/,/,6,1.0,29.0,0.0,29.0
27,2022-06-17 11:10,Hanoi,Vietnam,desktop,/sample-page/,/,6,1.0,7.0,0.0,7.0
28,2022-06-17 11:10,Hanoi,Vietnam,desktop,/shop/,/,6,1.0,4.0,0.0,4.0
29,2022-06-17 11:10,Hanoi,Vietnam,desktop,/,/,6,1.0,0.0,0.0,0.0
30,2022-06-17 13:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
31,2022-06-17 14:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
32,2022-06-17 15:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
33,2022-06-17 17:10,Hanoi,Vietnam,desktop,/,/,2,1.0,301.0,1.0,301.0
34,2022-06-17 17:10,Hanoi,Vietnam,desktop,/,/,2,1.0,0.0,0.0,0.0
35,2022-06-20 08:10,Hanoi,Vietnam,desktop,/,/my-account/,3,1.0,110.0,1.0,110.0
