Client_Id,Sessions,Avg_Session_Duration,Bounce_Rate,Revenue,Transactions,Goal_Conversion_Rate
697944557.1653280444,32,00:18:39,28.12%,₫0,0,0.00%
2062829691.1655429550,5,00:02:42,60.00%,₫0,0,0.00%
706367500.1652505024,3,00:00:00,100.00%,₫0,0,0.00%
1632424583.1656390432,2,00:04:46,0.00%,₫0,0,0.00%
1939087416.1656398949,2,00:07:09,0.00%,₫0,0,0.00%
1960476511.1656390365,2,00:14:18,0.00%,₫0,0,0.00%
512656401.1605616890,2,00:14:21,50.00%,₫0,0,0.00%
918831339.1656060495,2,00:00:00,100.00%,₫0,0,0.00%
108678064.1655772991,1,00:00:00,100.00%,₫0,0,0.00%
1552536366.1655978426,1,00:00:00,100.00%,₫0,0,0.00%
