,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_users,ga_pageviews,ga_bounces,ga_sessions,ga_timeOnPage
0,2022-06-16 17:10,Hanoi,Vietnam,mobile,1.0,1.0,1.0,1.0,0.0
1,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,26.0
2,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,82.0
3,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,15.0
4,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,183.0
5,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,62.0
6,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,103.0
7,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,154.0
8,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,300.0
9,2022-06-16 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
10,2022-06-17 00:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
11,2022-06-17 07:10,Hanoi,Vietnam,mobile,1.0,1.0,0.0,1.0,1721.0
12,2022-06-17 08:10,Hanoi,Vietnam,mobile,1.0,1.0,0.0,0.0,0.0
13,2022-06-17 08:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,1.0,133.0
14,2022-06-17 08:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,334.0
15,2022-06-17 08:10,Hanoi,Vietnam,desktop,2.0,9.0,1.0,1.0,42.0
16,2022-06-17 09:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
17,2022-06-17 09:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
18,2022-06-17 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,1732.0
19,2022-06-17 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,36.0
20,2022-06-17 11:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,40.0
21,2022-06-17 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
22,2022-06-17 13:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
23,2022-06-17 14:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
24,2022-06-17 15:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
25,2022-06-17 17:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,301.0
