Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
Homepage -,114,53,00:03:45,39,41.03%,25.44%,₫0
Shop -,25,14,00:01:59,0,0.00%,12.00%,₫0
GA – Just another WordPress site,21,10,00:06:19,10,50.00%,42.86%,₫0
Cart -,20,15,00:01:54,2,50.00%,25.00%,₫0
Just another WordPress site,17,11,00:02:43,9,33.33%,41.18%,"₫727,273"
Checkout -,16,13,00:02:41,0,0.00%,18.75%,₫0
GA - Just another WordPress site,13,7,00:03:48,6,66.67%,38.46%,₫0
Shop - Google Analytics,13,3,00:00:30,0,0.00%,0.00%,₫0
Homepage - Google Analytics,12,1,00:01:32,0,0.00%,0.00%,₫0
Khóa học DE -,10,4,00:01:24,0,0.00%,0.00%,₫0
,386,205,00:02:22,73,45.21%,18.91%,"₫195,122"

