Page path level 1,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/,178,73,00:03:39,44.44%,28.09%
/shop/,51,24,00:01:12,100.00%,7.84%
/product/,43,25,00:01:21,60.00%,16.28%
/cart/,35,23,00:01:13,33.33%,17.14%
/checkout/,26,21,00:02:19,0.00%,19.23%
/my-account/,19,12,00:01:55,0.00%,5.26%
/sample-page/,14,10,00:01:02,0.00%,0.00%
/2022/,5,2,00:00:55,0.00%,0.00%
/?customize_changeset_uuid=c4353d1e-9998-4e95-a7df-c9c8833a7edf&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,1,1,00:09:40,0.00%,0.00%
/?customize_changeset_uuid=f2398cbe-fb78-4a72-a416-419bd19c196f&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,1,1,00:05:51,0.00%,0.00%
,386,205,00:02:22,45.21%,18.91%
