,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_users,ga_pageviews,ga_bounces,ga_sessions,ga_timeOnPage
0,202206161731,Hanoi,Vietnam,mobile,1.0,1.0,1.0,1.0,0.0
1,202206161732,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,26.0
2,202206161733,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,82.0
3,202206161734,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,15.0
4,202206161735,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,183.0
5,202206161738,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,62.0
6,202206161739,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,103.0
7,202206161740,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,154.0
8,202206161743,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,300.0
9,202206161748,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
10,202206170042,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
11,202206170731,Hanoi,Vietnam,mobile,1.0,1.0,0.0,1.0,1721.0
12,202206170800,Hanoi,Vietnam,mobile,1.0,1.0,0.0,0.0,0.0
13,202206170832,Hanoi,Vietnam,desktop,1.0,3.0,0.0,1.0,133.0
14,202206170834,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,334.0
15,202206170840,Hanoi,Vietnam,desktop,2.0,9.0,1.0,1.0,42.0
16,202206170912,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
17,202206170946,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
18,202206171038,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,1732.0
19,202206171107,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,36.0
20,202206171108,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,40.0
21,202206171109,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
22,202206171340,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
23,202206171423,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
24,202206171517,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
